title,date,content,verified_product,rating,product
Dr Goswami Shivdani Giri,Reviewed in India on 17 January 2022,"The processor is fast as if having 8 gb ram. No issues related to personal use. It has pre-installed Win 11, MS Office 2021 and Mc Afee, and this becomes the main attraction. The battery backup is at least 4 hours. In total the laptop is worth considering.
Those who want to purchase a good laptop under budget should certainly go for it. Brand matters a lot too.",Verified Purchase,4,Dell New Inspiron 3521 Laptop
Ramnath H,Reviewed in India on 26 January 2022,"This is a pretty gud budget laptop, for whats inside it , this one is really worth the money, but when it comes to the body, its really plasticky, the quality is is just above that of chromebooks body , the screen is pretty good, battery life is pretty average only 4 to 5 hrs mostly. Keyboard is standard.The trackpad quality is pretty bad actually, it feels pretty local to be honest(I use a seperate mouse ) so i barely use the trackpad because of it too.",Verified Purchase,4,Dell New Inspiron 3521 Laptop
Veteran User,Reviewed in India on 20 January 2022,Very light weight. Easy to operate,Verified Purchase,5,Dell New Inspiron 3521 Laptop
Azeem shaikh,Reviewed in India on 13 February 2022,"Best Buy ,
Fullly Loaded good for kids and college going also daily office work can be done perfectly.

normal gaming can be done,

best part is it has windows and ms office pre loaded for free.

go for it best product",Verified Purchase,5,Dell New Inspiron 3521 Laptop
Satyam Agrahari,Reviewed in India on 13 February 2022,"I review after 10 days I found all the function are run very well,any fault is not found,product looks awesome built quality is excellent , product is very slim, its large and anti glare screen is gives better experience and its SSD gives it very fast function it is take about max 10 seconds for start.",Verified Purchase,5,Dell New Inspiron 3521 Laptop
BASAVARAJ,Reviewed in India on 24 January 2022,,Verified Purchase,4,Dell New Inspiron 3521 Laptop
Buyer,Reviewed in India on 1 February 2022,"The product is good
But I got the box damaged
But no problem for laptop",Verified Purchase,4,Dell New Inspiron 3521 Laptop
Qualibar Pvt Ltd,Reviewed in India on 25 February 2022,Excellent,Verified Purchase,5,Dell New Inspiron 3521 Laptop
Anup gautam,Reviewed in India on 14 April 2022,Dell new laptop pqc very good performance,Verified Purchase,5,Dell New Inspiron 3521 Laptop
Arti rathva,Reviewed in India on 2 May 2022,Don't by products it's total west of money not working properly,Verified Purchase,1,Dell New Inspiron 3521 Laptop
Subhash Shetty,Reviewed in India on 23 February 2022,new laptop working but very slowly,Verified Purchase,1,Dell New Inspiron 3521 Laptop
sravanthy,Reviewed in India on 19 February 2022,Worth buying in,Verified Purchase,5,Dell New Inspiron 3521 Laptop
Ramachandra,Reviewed in India on 20 February 2022,Good laptop. Value for money,Verified Purchase,5,Dell New Inspiron 3521 Laptop
